"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.272699467E2,-2.714259964E-1,-9.713131517E-1,-3.058739904E0
1.272899337E2,-6.102949476E-1,-9.418431848E-1,-2.850683692E0
1.273099217E2,-4.295849937E-1,-1.121282539E0,-2.556023199E0
1.273299097E2,-6.538777542E-1,-1.125939261E0,-2.033769193E0
1.273498978E2,-8.920307547E-1,-1.101635017E0,-1.922408971E0
1.273698857E2,-4.198698449E-1,-1.214867810E0,-2.181566924E0
1.273898740E2,-6.973681748E-2,-1.282761293E0,-1.969215347E0
1.274098620E2,1.450295423E0,-1.401082040E0,-1.134953475E0
1.274298500E2,1.491069227E-1,-5.779566291E-1,-1.097241127E0
1.274498380E2,-1.580337499E0,3.235901767E-1,-1.229198751E0
1.274698250E2,6.755767715E-1,-4.761732692E-1,-7.457761037E-1
1.274898130E2,1.409459639E-1,2.954890430E-2,-3.795919212E-1
1.275098010E2,5.776674843E-1,-8.950362235E-2,1.487964356E-1
1.275297880E2,3.209495741E-1,2.559966561E-1,4.300615783E-1
1.275497760E2,3.733482277E-1,4.015359002E-1,7.441272620E-1
1.275697640E2,3.938450575E-2,4.469561943E-1,8.897416428E-1
1.275897520E2,3.838679534E-1,2.677647623E-1,1.420770493E0
1.276097390E2,9.392908752E-2,2.957524601E-1,1.542431170E0
1.276297270E2,1.325897080E-1,2.359524009E-1,1.635990275E0
1.276497150E2,1.657545304E-1,5.207793385E-2,1.411945875E0
1.276697030E2,5.138533115E-2,-2.309884071E-2,1.379630653E0
1.276896900E2,2.615652519E-1,-3.170553285E-1,1.007322133E0
1.277096780E2,9.060892153E-1,-6.165318802E-1,1.056584925E0
1.277296660E2,1.176340506E0,-6.630429724E-1,1.030992758E0
1.277496540E2,8.804871815E-1,-3.511945894E-1,1.059868648E0
1.277696410E2,4.863041550E-1,-2.887472034E-2,7.480460659E-1
1.277896290E2,3.046621549E-1,2.450664559E-1,5.594873945E-1
1.278096170E2,3.196830672E-1,4.702362987E-1,2.985810506E-1
1.278296050E2,3.405085105E-1,6.968922114E-1,2.180789427E-1
1.278495920E2,3.984427232E-1,8.008706161E-1,3.539669554E-2
1.278695800E2,6.419751620E-1,7.218829188E-1,-1.500857466E-1
1.278895680E2,6.509985852E-1,6.733562914E-1,-3.756532001E-1
1.279095560E2,3.779014546E-1,6.970310828E-1,-5.803998882E-1
1.279295430E2,2.657875264E-1,6.067509502E-1,-6.817976242E-1
1.279495310E2,3.194760758E-1,4.299823120E-1,-6.009282929E-1
1.279695190E2,3.255489939E-1,2.578195256E-1,-5.595247436E-1
1.279895070E2,7.064489007E-2,2.555481747E-1,-4.852095562E-1
1.280094940E2,-2.968011582E-1,2.480985296E-1,-5.585447502E-1
1.280294820E2,-4.784443277E-1,2.088941181E-1,-4.858252680E-1
1.280494700E2,-6.026058590E-1,1.038754937E-1,-2.937079628E-1
1.280694580E2,-7.683399242E-1,-8.568305165E-2,-6.719620228E-2
1.280894450E2,-1.136928518E0,-6.067918807E-2,3.625273705E-5
1.281094330E2,-1.373386411E0,-7.962709039E-2,4.880904794E-2
1.281294210E2,-1.592909013E0,-5.380563989E-2,2.864081344E-2
1.281494090E2,-1.751286111E0,-4.318022579E-2,8.640313625E-2
1.281693960E2,-2.113518198E0,-6.914697960E-2,-1.833453854E-2
1.281893840E2,-1.991130127E0,-3.080099782E-1,-2.466262007E-1
1.282093720E2,-1.674844292E0,-6.430858406E-1,-4.918794751E-1
1.282293600E2,-5.410814559E-1,-1.263688260E0,-3.470942295E-1
1.282493470E2,-1.477358676E0,-1.486079067E0,-2.985529840E-1
1.282693350E2,-1.408888366E0,-1.849215864E0,-3.537542081E-1
1.282893230E2,-5.431145328E-1,-1.744672180E0,-4.505665576E-1
1.283093110E2,-6.084589219E-1,-1.316097439E0,-7.524910462E-1
1.283292980E2,-4.638303816E-1,-1.010180179E0,-6.473838365E-1
1.283492860E2,-7.709290713E-1,-5.534832542E-1,-5.447874212E-1
1.283692740E2,-7.906026131E-1,-2.307991035E-1,-4.307164665E-1
1.283892617E2,-2.186028349E-1,-1.822882636E-1,-2.688748562E-1
1.284092487E2,-1.486303747E-2,-1.238570376E-1,-4.935377455E-1
1.284292367E2,-1.576105285E-1,3.754073247E-1,-6.097541533E-1
1.284492247E2,-7.586160046E-1,1.140227664E0,-3.339087582E-1
1.284692127E2,-4.844488335E-1,1.451455511E0,7.713646889E-1
1.284891997E2,-1.672028857E-1,1.189565154E0,5.805700421E-1
1.285091877E2,1.362032872E-1,1.044997571E0,1.348180819E-1
1.285291757E2,1.001191254E0,1.151201864E0,1.029145038E-1
1.285491637E2,1.899085597E0,9.791858429E-1,-3.443187755E-2
1.285691507E2,1.619769368E0,1.122064750E0,-2.775391873E-1
1.285891387E2,1.441740947E0,8.979203627E-1,-5.728353453E-1
1.286091267E2,6.205304986E-1,6.866318098E-1,-5.824832511E-1
1.286291147E2,-1.210367208E0,4.811062726E-1,-9.170763893E-3
1.286491017E2,-5.510287392E-1,1.127781719E-2,5.232679135E-1
1.286690897E2,4.076889253E-1,-3.503015734E-1,1.008388007E0
1.286890777E2,1.013428307E0,-6.073437117E-1,1.022328939E0
1.287090657E2,3.416142190E-1,-4.622164039E-1,9.252090257E-1
1.287290527E2,1.053861803E0,-8.118142650E-1,1.094693422E0
1.287490407E2,9.762025934E-1,-1.015576282E0,7.214405038E-1
1.287690287E2,5.144011956E-1,-1.047253573E0,-3.260685191E-2
1.287890167E2,6.784343058E-1,-9.359563543E-1,-5.115588641E-1
1.288090037E2,6.469868106E-1,-3.402519639E-1,-3.963307089E-1
1.288289917E2,5.058613372E-1,-2.604817629E-2,-5.383677632E-1
1.288489797E2,2.461619318E-2,2.439943689E-1,-9.289262469E-1
1.288689677E2,1.185146413E0,6.292038198E-1,-2.214825302E0
1.288889547E2,1.061917512E0,9.197350086E-1,-1.853594405E0
1.289089427E2,6.802545440E-1,6.575710018E-1,-1.234922736E0
1.289289307E2,-1.788306588E-1,5.111998451E-1,-7.060719015E-1
1.289489187E2,-3.665654576E-1,3.204358962E-1,-8.667865705E-1
