"Time (ms)","Recording (a.u.)"
7.187772264E0,-4.302266985E-3
7.208606387E0,-5.075200927E-3
7.229440509E0,-5.661555100E-3
7.250274632E0,-6.237940863E-3
7.271108754E0,-6.644999608E-3
7.291942877E0,-6.986018270E-3
7.312776999E0,-7.258178201E-3
7.333611122E0,-7.616935298E-3
7.354445244E0,-8.005584590E-3
7.375279367E0,-8.248010650E-3
7.396113489E0,-8.517827839E-3
7.416947612E0,-8.485581726E-3
7.437781734E0,-8.631024510E-3
7.458615857E0,-8.850908838E-3
7.479449979E0,-8.649809286E-3
7.500284102E0,-8.672151715E-3
7.521118224E0,-8.427314460E-3
7.541952347E0,-8.086543530E-3
7.562786469E0,-7.929652929E-3
7.583620592E0,-7.504054345E-3
7.604454714E0,-7.248407230E-3
7.625288837E0,-6.913582794E-3
7.646122959E0,-6.539117079E-3
7.666957082E0,-6.218006834E-3
7.687791204E0,-5.704564974E-3
7.708625327E0,-5.264433101E-3
7.729459449E0,-4.693608731E-3
7.750293572E0,-4.023496062E-3
7.771127694E0,-3.289381275E-3
7.791961817E0,-2.450404922E-3
7.812795939E0,-1.692285878E-3
7.833630062E0,-8.587060729E-4
7.854464184E0,-2.686045482E-4
7.875298307E0,2.255051950E-4
7.896132429E0,1.078654546E-3
7.916966552E0,1.762118423E-3
7.937800674E0,2.475897316E-3
7.958634797E0,3.203841392E-3
7.979468919E0,3.760656342E-3
8.000303042E0,4.618802574E-3
8.021137164E0,5.234134383E-3
8.041971287E0,5.762526300E-3
8.062805409E0,6.455855444E-3
8.083639532E0,6.957746577E-3
8.104473654E0,7.523078937E-3
8.125307777E0,8.023021743E-3
8.146141899E0,8.539469913E-3
8.166976022E0,9.054261260E-3
8.187810144E0,9.540758096E-3
8.208644267E0,1.015211456E-2
8.229478389E0,1.052955631E-2
8.250312512E0,1.087682880E-2
8.271146634E0,1.112150215E-2
8.291980757E0,1.113828924E-2
8.312814879E0,1.146074198E-2
8.333649002E0,1.160159707E-2
8.354483124E0,1.163260452E-2
8.375317247E0,1.189420372E-2
8.396151369E0,1.185526513E-2
8.416985492E0,1.190062240E-2
8.437819614E0,1.181687228E-2
8.458653737E0,1.162846386E-2
8.479487859E0,1.168358698E-2
8.500321982E0,1.150146872E-2
8.521156104E0,1.141680963E-2
8.541990227E0,1.109071821E-2
8.562824349E0,1.059692167E-2
8.583658472E0,1.031898335E-2
8.604492594E0,9.780814871E-3
8.625326717E0,9.333349764E-3
8.646160839E0,8.792169392E-3
8.666994962E0,8.270196617E-3
8.687829084E0,7.974342443E-3
8.708663207E0,7.441901136E-3
8.729497329E0,6.976231933E-3
8.750331452E0,6.257934496E-3
8.771165574E0,5.445833318E-3
8.791999697E0,4.884387366E-3
8.812833819E0,4.099222366E-3
8.833667942E0,3.547085449E-3
8.854502064E0,2.817777451E-3
8.875336187E0,1.824994804E-3
8.896170309E0,1.145086717E-3
8.917004432E0,2.287219104E-4
8.937838554E0,-5.079891416E-4
8.958672677E0,-1.182973501E-3
8.979506799E0,-2.024198417E-3
9.000340922E0,-2.624771092E-3
9.021175045E0,-3.383738687E-3
9.042009167E0,-4.005896859E-3
9.062843290E0,-4.586310126E-3
9.083677412E0,-5.251101218E-3
9.104511535E0,-5.690332968E-3
9.125345657E0,-6.278595887E-3
9.146179780E0,-6.883181166E-3
9.167013902E0,-7.347691804E-3
9.187848025E0,-7.804246154E-3
9.208682147E0,-8.216586895E-3
9.229516270E0,-8.736329153E-3
9.250350392E0,-9.286437184E-3
9.271184515E0,-9.648026899E-3
9.292018637E0,-9.977469221E-3
9.312852760E0,-1.027799957E-2
9.333686882E0,-1.053890027E-2
9.354521005E0,-1.072106324E-2
9.375355127E0,-1.064968482E-2
9.396189250E0,-1.052916050E-2
9.417023372E0,-1.041781716E-2
9.437857495E0,-1.034591347E-2
9.458691617E0,-1.027157344E-2
9.479525740E0,-1.007873286E-2
9.500359862E0,-9.783539921E-3
9.521193985E0,-9.425848722E-3
9.542028107E0,-9.154845029E-3
9.562862230E0,-8.676370606E-3
9.583696352E0,-8.139242418E-3
9.604530475E0,-7.685747463E-3
9.625364597E0,-7.013229653E-3
9.646198720E0,-6.481285673E-3
9.667032842E0,-5.901141092E-3
9.687866965E0,-5.235029384E-3
9.708701087E0,-4.815963097E-3
9.729535210E0,-4.210428800E-3
9.750369332E0,-3.557784716E-3
9.771203455E0,-2.876327839E-3
9.792037577E0,-2.024425659E-3
9.812871700E0,-1.331414329E-3
9.833705822E0,-5.513846409E-4
9.854539945E0,1.642145362E-4
9.875374067E0,8.026461001E-4
9.896208190E0,1.673966181E-3
9.917042312E0,2.534587402E-3
9.937876435E0,3.411293495E-3
9.958710557E0,4.137507640E-3
9.979544680E0,4.850708880E-3
1.000037880E1,5.536635406E-3
1.002121292E1,6.078857929E-3
1.004204705E1,6.844704971E-3
1.006288117E1,7.485992741E-3
1.008371529E1,8.277871646E-3
1.010454941E1,9.047011845E-3
1.012538354E1,9.391324595E-3
1.014621766E1,9.933493100E-3
1.016705178E1,1.032585278E-2
1.018788590E1,1.062106155E-2
1.020872003E1,1.100513712E-2
1.022955415E1,1.129297074E-2
1.025038827E1,1.166054141E-2
1.027122239E1,1.185726933E-2
1.029205652E1,1.205967087E-2
