"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.577047434E2,-5.620226741E-2,-1.843982862E-1,-4.866167618E-1
1.577247314E2,-2.021990561E-1,-4.948289386E-2,2.957825732E-1
1.577447194E2,1.310355181E-1,5.408464801E-2,1.860677576E-1
1.577647074E2,4.423675919E-1,-9.906750186E-3,-5.118838231E-1
1.577846954E2,2.015868527E-1,-1.419340519E-1,-3.394250214E-1
1.578046834E2,3.172313297E-1,-1.242897133E-1,4.596637288E-1
1.578246714E2,-1.125682569E-1,-4.165373705E-3,8.396812908E-1
1.578446594E2,-1.905899942E-2,6.672136269E-2,9.491427027E-2
1.578646474E2,-1.360354722E-1,9.108778839E-2,2.266100851E-1
1.578846354E2,-5.795713377E-1,-7.182482164E-2,6.355046332E-1
1.579046234E2,-1.970844966E-1,-1.131176302E-1,-7.016775727E-1
1.579246124E2,9.036924416E-1,-1.206276021E-1,-9.026205739E-1
1.579446004E2,9.789349973E-2,-4.004303379E-1,8.589435540E-2
1.579645884E2,6.212286562E-1,-6.567411357E-1,2.201756994E-1
1.579845764E2,-1.449970318E0,-1.722354198E-1,6.165865517E-1
1.580045644E2,-1.108840249E0,5.867725492E-1,1.470097604E0
1.580245524E2,-1.956677163E-1,1.015986099E0,-4.810820798E-1
1.580445404E2,5.674635082E-1,1.054922196E0,-9.101938876E-1
1.580645284E2,3.475801331E-1,6.615275203E-1,3.470193120E-1
1.580845164E2,-2.648671746E-1,3.738139219E-1,5.585271355E-1
1.581045044E2,6.123134065E-1,-1.503529644E-1,3.082255212E-1
1.581244924E2,1.163422253E0,-2.732990789E-1,-6.942874230E-2
1.581444804E2,4.097617632E-1,-1.670538548E-1,-1.061386585E-1
1.581644684E2,-9.199336678E-1,-7.838653050E-2,-5.063583505E-1
1.581844564E2,-8.333703178E-1,2.919571786E-1,2.695325218E-2
1.582044444E2,-6.761837125E-1,3.100998462E-1,9.714922227E-2
1.582244324E2,2.778216809E-1,1.828064000E-1,4.871280277E-1
1.582444204E2,3.661351025E-1,-3.037343480E-2,1.889551858E-1
1.582644084E2,-6.377908945E-2,-5.052206285E-2,2.730287913E-1
1.582843974E2,4.769258058E-1,-1.845206428E0,1.135388947E0
1.583043854E2,-5.106162345E0,-2.492308721E0,-2.429072546E0
1.583243734E2,3.830464781E0,-3.145692386E-2,-3.806049732E0
1.583443604E2,2.726508127E0,2.438953317E-1,-8.478848612E-1
