"Time (s)","Rotation x (rad/s)","Rotation y (rad/s)","Rotation z (rad/s)"
1.010400016E2,2.109431289E-2,-4.130284488E-1,1.708864123E-1
1.010599876E2,-1.122648492E-1,-3.251123726E-1,2.033468187E-1
1.010799746E2,-1.547301561E-1,-3.124219477E-1,2.842283547E-1
1.010999616E2,-1.149135306E-1,-3.098568320E-1,3.250072002E-1
1.011199486E2,-1.350765079E-1,-1.215373501E-1,3.159148991E-1
1.011399356E2,-2.300649881E-1,2.531341910E-1,2.034072727E-1
1.011599216E2,-2.088989913E-1,5.290718079E-1,1.161978170E-1
1.011799086E2,-1.276611835E-1,6.244812608E-1,1.122451499E-1
1.011998956E2,-2.650952637E-1,8.150957823E-1,1.031813398E-1
1.012198826E2,-2.365825027E-1,8.414433599E-1,7.329723239E-2
1.012398696E2,-1.340966299E-2,6.216202974E-1,1.489451230E-1
1.012598566E2,4.498551041E-2,4.022544622E-1,2.260316312E-1
1.012798426E2,1.760730594E-1,1.052531227E-1,3.129116893E-1
1.012998296E2,2.167482972E-1,6.606015563E-2,3.698532581E-1
1.013198166E2,1.588616669E-1,5.309209228E-4,3.638007343E-1
1.013398036E2,1.974753588E-1,-1.613326222E-1,3.586224318E-1
1.013597906E2,3.187302053E-1,-2.319526225E-1,3.911705315E-1
1.013797776E2,1.792280525E-1,3.789099678E-2,4.580371678E-1
1.013997636E2,8.208059706E-3,2.756610215E-1,4.856168628E-1
1.014197506E2,-6.304574199E-3,3.272965848E-1,5.292295814E-1
1.014397376E2,8.326350152E-2,2.055500895E-1,4.907269180E-1
1.014597246E2,1.434292942E-1,1.054571718E-1,3.917843699E-1
1.014797116E2,2.218440175E-1,5.382562056E-2,3.259585202E-1
1.014996976E2,3.431748152E-1,-4.555237666E-2,2.706950009E-1
1.015196846E2,2.566058338E-1,-6.318330020E-2,2.800269723E-1
1.015396716E2,1.510962397E-1,3.306950256E-2,3.635244966E-1
1.015596586E2,8.144635707E-2,4.654467106E-2,4.037603736E-1
1.015796456E2,2.198012620E-1,-1.389179677E-1,3.733816445E-1
1.015996326E2,2.240841836E-1,-2.011501640E-1,3.137524128E-1
1.016196186E2,2.034280896E-1,-1.739706248E-1,2.635659277E-1
1.016396056E2,2.501595616E-1,-1.952658594E-1,2.641116381E-1
1.016595926E2,2.205395550E-1,-9.817361087E-2,2.780075073E-1
1.016795796E2,1.125513613E-1,4.491842911E-2,2.946130931E-1
1.016995666E2,7.477123290E-2,1.328969598E-1,3.163806796E-1
1.017195526E2,1.339617968E-1,6.672941148E-2,3.383448720E-1
1.017395396E2,1.843239367E-1,-2.415911853E-2,3.411864936E-1
1.017595266E2,1.244335026E-1,-3.407647088E-2,3.641324937E-1
1.017795136E2,1.728677154E-1,-1.219090819E-1,4.194714129E-1
1.017995006E2,2.183197886E-1,-2.176323682E-1,4.466433823E-1
1.018194876E2,2.744157314E-1,-1.847379655E-1,4.486668408E-1
1.018394736E2,2.255772650E-1,-8.098741621E-2,4.657675922E-1
1.018594606E2,1.534273624E-1,1.000878774E-2,4.814780653E-1
1.018794476E2,1.428161263E-1,9.272500873E-3,4.963134527E-1
1.018994346E2,1.909241974E-1,-3.509464487E-2,4.677372277E-1
1.019194216E2,2.017761916E-1,4.043687135E-2,4.641142190E-1
1.019394086E2,2.090997994E-1,7.232254744E-2,4.590561390E-1
1.019593946E2,2.516197860E-1,5.927775428E-2,4.798468649E-1
1.019793816E2,2.620198131E-1,3.539602086E-2,5.451105237E-1
1.019993686E2,3.476330042E-1,4.057864100E-2,6.571489573E-1
1.020193556E2,4.179950356E-1,3.077463806E-2,7.175824642E-1
1.020393426E2,3.448921144E-1,8.834451437E-2,7.005137205E-1
1.020593296E2,2.274139971E-1,1.803659052E-1,7.509766221E-1
1.020793156E2,1.376288086E-1,1.951613128E-1,8.405600190E-1
1.020993026E2,5.086159334E-2,2.717836797E-1,9.390820861E-1
1.021192896E2,1.347929388E-1,1.679664999E-1,8.366902471E-1
1.021392766E2,2.527664900E-1,7.366268337E-2,6.481310129E-1
1.021592636E2,2.786339819E-1,1.293295473E-1,4.329898953E-1
1.021792506E2,2.860581875E-1,1.719377190E-1,3.317804337E-1
1.021992366E2,1.546009630E-1,3.538507819E-1,3.503709137E-1
1.022192236E2,2.195094824E-1,5.248290300E-1,4.328756034E-1
1.022392106E2,2.253173739E-1,5.957947969E-1,4.797741771E-1
1.022591976E2,3.366204202E-1,5.025022030E-1,5.218864679E-1
1.022791846E2,4.070242345E-1,4.057135284E-1,4.441849887E-1
1.022991706E2,3.521478772E-1,4.505700469E-1,3.143058121E-1
1.023191575E2,1.193097308E-1,5.568646789E-1,1.878280491E-1
1.023391445E2,1.047055647E-1,4.960837960E-1,7.201413065E-2
1.023591315E2,8.905959129E-2,4.391877651E-1,8.685274422E-2
1.023791185E2,1.817538291E-1,2.954432070E-1,1.276304871E-1
1.023991055E2,2.682391107E-1,3.113312125E-1,1.759333014E-1
1.024190915E2,3.021539152E-1,2.881686985E-1,1.051587686E-1
1.024390785E2,1.089418754E-1,4.339347184E-1,-1.561247855E-1
1.024590655E2,-1.964277923E-1,7.823160291E-1,-5.311514139E-1
1.024790525E2,-8.066716045E-2,1.082924843E0,-8.025667071E-1
1.024990395E2,1.324536465E-2,1.129098058E0,-9.088012576E-1
1.025190265E2,-3.070066683E-2,9.846240878E-1,-9.001696110E-1
1.025390125E2,-1.081726048E-3,7.542979717E-1,-8.555955291E-1
1.025589995E2,-6.801863760E-2,7.856568098E-1,-8.564354777E-1
1.025789865E2,-2.796316147E-2,8.300313354E-1,-9.791451693E-1
1.025989735E2,-1.833733469E-1,9.710553885E-1,-1.008219123E0
1.026189605E2,-1.910301298E-1,9.905754328E-1,-1.041399717E0
1.026389475E2,-1.193807796E-1,1.077348828E0,-9.194785953E-1
1.026589335E2,-2.198227942E-1,1.140185475E0,-6.699358821E-1
1.026789205E2,-2.996789217E-1,1.066360831E0,-5.123920441E-1
1.026989075E2,-3.361696601E-1,8.014479280E-1,-4.414747953E-1
1.027188945E2,-3.706043065E-1,7.075418234E-1,-4.345271289E-1
1.027388815E2,-6.656429768E-1,8.822897673E-1,-4.707546234E-1
1.027588675E2,-7.611883879E-1,8.166366220E-1,-4.725179374E-1
1.027788545E2,-7.279828787E-1,7.517272830E-1,-3.654433787E-1
1.027988415E2,-5.637919903E-1,5.878096223E-1,-2.293452173E-1
1.028188285E2,-4.873533249E-1,3.011881113E-1,-1.139677390E-1
1.028388155E2,-3.135274351E-1,3.754054010E-2,-1.340932548E-1
1.028588025E2,9.299173020E-3,-1.768522114E-1,-1.672578603E-1
1.028787885E2,1.025548726E-1,-2.858350277E-1,-2.453646362E-1
1.028987755E2,3.659557998E-1,-5.624050498E-1,-2.768639922E-1
1.029187625E2,2.963350117E-1,-8.704907298E-1,-1.762545407E-1
1.029387495E2,1.361396313E-1,-1.029418588E0,-8.576940000E-2
1.029587365E2,-2.087890655E-1,-8.241335154E-1,-1.255394369E-1
1.029787235E2,-8.518952131E-1,-2.126597166E-1,-3.930233419E-1
1.029987095E2,-1.448278666E0,6.671567559E-1,-8.263750672E-1
1.030186965E2,-1.595467687E0,1.067341685E0,-2.188164145E-1
1.030386835E2,1.463610679E-2,3.196586370E-1,1.125588059E0
1.030586705E2,9.820181727E-1,-1.061298490E0,1.335349560E0
1.030786575E2,4.440564513E-1,-8.760582805E-1,1.321370125E0
1.030986435E2,-8.491808176E-1,-3.261811435E-1,5.008973479E-1
1.031186305E2,-2.358741999E0,1.484760791E-1,-5.517109632E-1
1.031386175E2,-3.501335621E0,7.952234149E-1,-1.872205496E0
1.031586045E2,-3.467206240E0,9.934154153E-1,-3.263651133E0
1.031785915E2,-2.328825474E0,3.899139166E-1,-3.816505194E0
1.031985785E2,-8.749883771E-1,-1.277898401E-1,-4.006132603E0
1.032185645E2,5.198607966E-2,-2.642398179E-1,-4.112781525E0
1.032385515E2,3.925747275E-1,-4.852049053E-1,-4.325509548E0
1.032585385E2,3.807618320E-1,-1.086462021E0,-4.760541916E0
1.032785255E2,1.718181372E-1,-8.864265680E-1,-5.203092575E0
1.032985125E2,-4.964645803E-1,-2.295644581E-1,-5.165696144E0
1.033184992E2,-9.306052923E-1,-2.783179879E-1,-5.351711750E0
1.033384862E2,-6.497151852E-1,-3.062034845E-1,-6.098787785E0
1.033584732E2,-4.519101083E-1,-4.109072387E-1,-7.006340981E0
1.033784602E2,-2.422783673E-1,-6.898162421E-3,-7.755752563E0
1.033984472E2,3.125961870E-2,1.398384124E-1,-7.850126743E0
