Description	
Number of Runs	2500
Preset Time	1
Pause Time	0
Alarm Level	0
High Voltage	800
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
279	800	9	1	02/07/24 11:07:12 AM	
280	800	12	1	02/07/24 11:07:13 AM	
281	800	12	1	02/07/24 11:07:14 AM	
282	800	15	1	02/07/24 11:07:15 AM	
283	800	13	1	02/07/24 11:07:16 AM	
284	800	7	1	02/07/24 11:07:17 AM	
285	800	13	1	02/07/24 11:07:18 AM	
286	800	9	1	02/07/24 11:07:20 AM	
287	800	9	1	02/07/24 11:07:21 AM	
288	800	12	1	02/07/24 11:07:22 AM	
289	800	10	1	02/07/24 11:07:23 AM	
290	800	5	1	02/07/24 11:07:24 AM	
291	800	4	1	02/07/24 11:07:25 AM	
292	800	11	1	02/07/24 11:07:27 AM	
293	800	15	1	02/07/24 11:07:28 AM	
294	800	17	1	02/07/24 11:07:29 AM	
295	800	7	1	02/07/24 11:07:30 AM	
296	800	8	1	02/07/24 11:07:31 AM	
297	800	10	1	02/07/24 11:07:33 AM	
298	800	9	1	02/07/24 11:07:34 AM	
299	800	8	1	02/07/24 11:07:35 AM	
300	800	3	1	02/07/24 11:07:36 AM	
301	800	9	1	02/07/24 11:07:37 AM	
302	800	10	1	02/07/24 11:07:38 AM	
303	800	11	1	02/07/24 11:07:39 AM	
304	800	9	1	02/07/24 11:07:40 AM	
305	800	10	1	02/07/24 11:07:42 AM	
306	800	12	1	02/07/24 11:07:43 AM	
307	800	11	1	02/07/24 11:07:44 AM	
308	800	8	1	02/07/24 11:07:45 AM	
309	800	11	1	02/07/24 11:07:46 AM	
310	800	9	1	02/07/24 11:07:47 AM	
311	800	14	1	02/07/24 11:07:49 AM	
312	800	12	1	02/07/24 11:07:50 AM	
313	800	18	1	02/07/24 11:07:51 AM	
314	800	8	1	02/07/24 11:07:52 AM	
315	800	10	1	02/07/24 11:07:53 AM	
316	800	11	1	02/07/24 11:07:54 AM	
317	800	8	1	02/07/24 11:07:55 AM	
318	800	10	1	02/07/24 11:07:57 AM	
319	800	4	1	02/07/24 11:07:58 AM	
320	800	8	1	02/07/24 11:07:59 AM	
321	800	14	1	02/07/24 11:08:00 AM	
322	800	10	1	02/07/24 11:08:01 AM	
323	800	14	1	02/07/24 11:08:02 AM	
324	800	15	1	02/07/24 11:08:04 AM	
325	800	12	1	02/07/24 11:08:05 AM	
326	800	17	1	02/07/24 11:08:06 AM	
327	800	8	1	02/07/24 11:08:07 AM	
328	800	12	1	02/07/24 11:08:08 AM	
329	800	9	1	02/07/24 11:08:09 AM	
330	800	16	1	02/07/24 11:08:10 AM	
331	800	8	1	02/07/24 11:08:12 AM	
332	800	9	1	02/07/24 11:08:13 AM	
333	800	10	1	02/07/24 11:08:14 AM	
334	800	13	1	02/07/24 11:08:15 AM	
335	800	9	1	02/07/24 11:08:16 AM	
336	800	12	1	02/07/24 11:08:17 AM	
337	800	12	1	02/07/24 11:08:19 AM	
338	800	13	1	02/07/24 11:08:20 AM	
339	800	11	1	02/07/24 11:08:21 AM	
340	800	7	1	02/07/24 11:08:22 AM	
341	800	17	1	02/07/24 11:08:23 AM	
342	800	12	1	02/07/24 11:08:24 AM	
343	800	8	1	02/07/24 11:08:26 AM	
344	800	16	1	02/07/24 11:08:27 AM	
345	800	10	1	02/07/24 11:08:28 AM	
346	800	10	1	02/07/24 11:08:29 AM	
347	800	9	1	02/07/24 11:08:30 AM	
348	800	10	1	02/07/24 11:08:31 AM	
349	800	6	1	02/07/24 11:08:32 AM	
350	800	8	1	02/07/24 11:08:33 AM	
351	800	12	1	02/07/24 11:08:35 AM	
352	800	11	1	02/07/24 11:08:36 AM	
353	800	14	1	02/07/24 11:08:37 AM	
354	800	7	1	02/07/24 11:08:38 AM	
355	800	7	1	02/07/24 11:08:39 AM	
356	800	18	1	02/07/24 11:08:40 AM	
357	800	8	1	02/07/24 11:08:41 AM	
358	800	6	1	02/07/24 11:08:43 AM	
359	800	7	1	02/07/24 11:08:44 AM	
360	800	11	1	02/07/24 11:08:45 AM	
361	800	14	1	02/07/24 11:08:46 AM	
362	800	14	1	02/07/24 11:08:47 AM	
363	800	5	1	02/07/24 11:08:48 AM	
364	800	8	1	02/07/24 11:08:50 AM	
365	800	12	1	02/07/24 11:08:51 AM	
366	800	12	1	02/07/24 11:08:52 AM	
367	800	13	1	02/07/24 11:08:53 AM	
368	800	8	1	02/07/24 11:08:54 AM	
369	800	13	1	02/07/24 11:08:55 AM	
370	800	15	1	02/07/24 11:08:56 AM	
371	800	8	1	02/07/24 11:08:58 AM	
372	800	12	1	02/07/24 11:08:59 AM	
373	800	3	1	02/07/24 11:09:00 AM	
374	800	10	1	02/07/24 11:09:01 AM	
375	800	10	1	02/07/24 11:09:02 AM	
376	800	11	1	02/07/24 11:09:03 AM	
377	800	10	1	02/07/24 11:09:05 AM	
378	800	16	1	02/07/24 11:09:06 AM	
379	800	13	1	02/07/24 11:09:07 AM	
380	800	14	1	02/07/24 11:09:08 AM	
381	800	11	1	02/07/24 11:09:09 AM	
