Wavelength,Intensity Source #3,,starting W (nm),ending W (nm),Delta W (nm),Intensity,,,Source #3
559.662,5.103,,,,,,,,
560.016,4.932,,,,,,,,
560.369,5.469,,,,,,,,
560.722,4.785,,,,,,,,
561.075,4.932,,,,,,,,
561.429,5.029,,,,,,,,
561.782,4.907,,,,,,,,
562.135,5.029,,,,,,,,
562.488,5.151,,,,,,,,
562.841,5.151,,,,,,,,
563.194,5.103,,,,,,,,
563.547,5.127,,,,,,,,
563.9,5.347,,,,,,,,
564.252,5.884,,,,,,,,
564.605,5.469,,,,,,,,
564.958,5.811,,,,,,,,
565.311,6.665,,,,,,,,
565.663,6.104,,,,,,,,
566.016,6.25,,,,,,,,
566.369,5.64,,,,,,,,
566.721,6.177,,,,,,,,
567.074,6.787,,,,,,,,
567.426,7.227,,,,,,,,
567.779,7.3,,,,,,,,
568.131,7.495,,,,,,,,
568.484,7.471,,,,,,,,
568.836,7.715,,,,,,,,
569.188,7.739,,,,,,,,
569.54,7.349,,,,,,,,
569.893,6.592,,,,,,,,
570.245,6.567,,,,,,,,
570.597,6.543,,,,,,,,
570.949,6.079,,,,,,,,
571.301,6.909,,,,,,,,
571.653,8.13,,,,,,,,
572.005,9.424,,,,,,,,
572.357,9.375,,,,,,,,
572.709,9.131,,,,,,,,
573.06,7.983,,,,,,,,
573.412,7.031,,,,,,,,
573.764,6.567,,,,,,,,
574.116,7.642,,,,,,,,
574.467,8.325,,,,,,,,
574.819,8.862,,,,,,,,
575.171,9.131,,,,,,,,
575.522,8.228,,,,,,,,
575.874,8.594,,,,,,,,
576.225,8.325,,,,,,,,
576.577,8.716,,,,,,,,
576.928,9.521,,,,,,,,
577.279,9.106,,,,,,,,
577.631,9.888,,,,,,,,
577.982,10.352,,,,,,,,
578.333,10.083,,,,,,,,
578.684,9.766,,,,,,,,
579.035,9.717,,,,,,,,
579.386,10.303,,,,,,,,
579.737,12.915,,,,,,,,
580.088,14.697,,,,,,,,
580.439,15.283,,,,,,,,
580.79,13.867,,,,,,,,
581.141,12.085,,,,,,,,
581.492,10.669,,,,,,,,
581.843,10.693,,,,,,,,
582.194,10.474,,,,,,,,
582.544,10.547,,,,,,,,
582.895,9.888,,,,,,,,
583.246,8.789,,,,,,,,
583.596,8.716,,,,,,,,
583.947,8.228,,,,,,,,
584.297,7.617,,,,,,,,
584.648,7.959,,,,,,,,
584.998,7.422,,,,,,,,
585.348,8.008,,,,,,,,
585.699,8.203,,,,,,,,
586.049,8.813,,,,,,,,
586.399,8.276,,,,,,,,
586.75,8.862,,,,,,,,
587.1,9.766,,,,,,,,
587.45,10.791,,,,,,,,
587.8,10.815,,,,,,,,
588.15,9.912,,,,,,,,
588.5,8.594,,,,,,,,
588.85,7.568,,,,,,,,
589.2,7.056,,,,,,,,
589.55,6.909,,,,,,,,
589.9,7.251,,,,,,,,
590.249,7.91,,,,,,,,
590.599,8.691,,,,,,,,
590.949,9.009,,,,,,,,
591.299,8.984,,,,,,,,
591.648,10.01,,,,,,,,
591.998,11.206,,,,,,,,
592.347,12.354,,,,,,,,
592.697,11.914,,,,,,,,
593.046,11.694,,,,,,,,
593.396,10.693,,,,,,,,
593.745,9.229,,,,,,,,
594.094,8.716,,,,,,,,
594.444,8.301,,,,,,,,
594.793,8.643,,,,,,,,
595.142,9.229,,,,,,,,
595.491,9.009,,,,,,,,
595.841,9.888,,,,,,,,
596.19,10.571,,,,,,,,
596.539,11.548,,,,,,,,
596.888,11.182,,,,,,,,
597.237,10.596,,,,,,,,
597.586,9.741,,,,,,,,
597.934,8.887,,,,,,,,
598.283,8.154,,,,,,,,
598.632,7.886,,,,,,,,
598.981,8.057,,,,,,,,
